iter	Accuracy	MultiClass
0	0.9	1.032731679
1	0.8975	0.9689285496
2	0.94	0.9100679494
3	0.8975	0.8631957321
4	0.935	0.8171224707
5	0.8975	0.7812279806
6	0.8975	0.7468078848
7	0.8975	0.7165612749
8	0.8975	0.7004520869
9	0.8975	0.6735829811
10	0.8975	0.6461527767
11	0.8975	0.6172147352
12	0.8975	0.5920788977
13	0.8975	0.5688121109
14	0.8975	0.5536370711
15	0.8975	0.5361925174
16	0.8975	0.5203554183
17	0.8975	0.4968668914
18	0.8975	0.4744116209
19	0.9175	0.4526653437
20	0.925	0.4325802153
21	0.9325	0.4160590202
22	0.9375	0.3986496752
23	0.94	0.3811321403
24	0.945	0.3677046136
25	0.9425	0.3608750446
26	0.94	0.3474365821
27	0.94	0.3389806652
28	0.94	0.3266778655
29	0.94	0.3127626114
30	0.94	0.3009766101
31	0.94	0.2914404476
32	0.94	0.285889364
33	0.94	0.2775785208
34	0.9425	0.2698276503
35	0.9425	0.265026101
36	0.9425	0.2564321673
37	0.955	0.2480578619
38	0.9575	0.2399221844
39	0.97	0.2312841614
40	0.9625	0.227760719
41	0.965	0.2213330818
42	0.9625	0.215812179
43	0.9675	0.2110855245
44	0.985	0.2032455096
45	0.9875	0.199069946
46	0.99	0.1935389652
47	0.99	0.1875750941
48	0.99	0.1854332281
49	0.99	0.1821736872
50	0.99	0.1772624515
51	0.9925	0.1717204163
52	0.9925	0.1662812209
53	0.9925	0.1634130569
54	0.9925	0.1586977572
55	0.9925	0.1545382988
56	0.9925	0.1526262225
57	0.9925	0.1491625883
58	0.9925	0.1442880246
59	0.9925	0.1420492922
60	0.9925	0.1389215596
61	0.9925	0.1358078972
62	0.9925	0.1334025897
63	0.9925	0.1301050887
64	0.9925	0.1274672999
65	0.9925	0.1236240337
66	0.9925	0.1211289519
67	0.9925	0.1183159421
68	0.9925	0.1165115963
69	0.9925	0.1149072751
70	0.9925	0.1117178243
71	0.9925	0.1104656014
72	0.9925	0.1086162767
73	0.9925	0.1073767081
74	0.9925	0.1054502437
75	0.9925	0.1036669823
76	0.9925	0.1012013675
77	0.9925	0.09873383234
78	0.9925	0.09709673984
79	0.9925	0.09533820832
80	0.9925	0.09316571492
81	0.9925	0.09141653297
82	0.9925	0.0906216001
83	0.9925	0.08944451237
84	0.9925	0.08840885931
85	0.9925	0.08723465998
86	0.9925	0.0849297253
87	0.9925	0.08376743506
88	0.9925	0.08244678303
89	0.9925	0.08070238643
90	0.9925	0.07885722205
91	0.9925	0.07724876507
92	0.9925	0.07605588652
93	0.9925	0.07477441699
94	0.9925	0.07400999583
95	0.9925	0.07313369883
96	0.9925	0.07178477089
97	0.9925	0.07002720613
98	0.9925	0.06916851101
99	0.9925	0.06813477854
100	0.9925	0.06660840965
101	0.9925	0.06538254493
102	0.9925	0.06435326522
103	0.9925	0.06349532758
104	0.9925	0.06252400401
105	0.9925	0.06177363846
106	0.9925	0.06096764373
107	0.9925	0.06054614685
108	0.9925	0.06017269224
109	0.9925	0.05936648653
110	0.9925	0.05875830297
111	0.9925	0.05781573336
112	0.9925	0.05709208198
113	0.9925	0.05599387882
114	0.9925	0.05533033197
115	0.9925	0.05439764129
116	0.995	0.05364839029
117	0.9975	0.05284296508
118	0.995	0.0523082726
119	0.9975	0.05147727398
120	0.9975	0.0512864555
121	0.9975	0.05028180015
122	0.9975	0.04972665401
123	0.9975	0.04912351328
124	0.9975	0.04835749892
125	0.9975	0.04769662654
126	0.9975	0.04698043609
127	0.9975	0.04640755029
128	0.9975	0.04588063312
129	0.9975	0.04556386639
130	0.9975	0.04494253248
131	0.9975	0.0444829328
132	0.9975	0.04412357372
133	0.9975	0.0435986142
134	0.9975	0.04295394512
135	0.9975	0.04254021648
136	1	0.04208944388
137	1	0.04138512428
138	1	0.04094679132
139	1	0.04047160768
140	1	0.0399173849
141	1	0.03921812108
