iter	Passed	Remaining
0	148	74287
1	158	39517
2	167	27786
3	172	21347
4	181	17945
5	188	15520
6	192	13582
7	203	12532
8	206	11275
9	211	10347
10	215	9581
11	226	9190
12	232	8698
13	242	8419
14	253	8211
15	264	8010
16	268	7620
17	279	7474
18	290	7352
19	298	7167
20	307	7005
21	317	6900
22	324	6736
23	332	6603
24	338	6425
25	348	6358
26	360	6322
27	369	6226
28	382	6208
29	392	6151
30	401	6074
31	407	5960
32	410	5811
33	417	5719
34	423	5623
35	433	5583
36	444	5556
37	454	5531
38	466	5512
39	475	5470
40	478	5361
41	489	5341
42	494	5256
43	505	5234
44	515	5210
45	524	5176
46	535	5160
47	543	5121
48	554	5104
49	565	5089
50	578	5094
51	592	5100
52	604	5097
53	613	5064
54	625	5064
55	638	5061
56	641	4988
57	647	4933
58	657	4913
59	662	4855
60	667	4801
61	678	4790
62	689	4780
63	698	4760
64	710	4755
65	721	4744
66	726	4693
67	736	4679
68	746	4663
69	758	4659
70	769	4652
71	774	4605
72	785	4595
73	795	4578
74	801	4540
75	811	4524
76	822	4520
77	832	4505
78	840	4481
79	845	4440
80	855	4427
81	866	4415
82	876	4402
83	883	4373
84	892	4357
85	903	4351
86	915	4343
87	925	4331
88	935	4318
89	944	4304
90	954	4291
91	965	4283
92	975	4270
93	981	4237
94	987	4208
95	997	4196
96	1008	4190
97	1020	4185
98	1025	4153
99	1035	4141
100	1044	4127
101	1052	4106
102	1056	4073
103	1067	4063
104	1075	4046
105	1085	4036
106	1096	4025
107	1106	4017
108	1112	3989
109	1116	3959
110	1125	3944
111	1137	3940
112	1147	3931
113	1158	3922
114	1168	3912
115	1178	3902
116	1188	3891
117	1199	3882
118	1207	3865
119	1216	3853
120	1227	3844
121	1237	3834
122	1247	3823
123	1257	3813
124	1267	3801
125	1276	3790
126	1286	3778
127	1296	3767
128	1305	3755
129	1315	3744
130	1320	3719
131	1329	3706
132	1339	3697
133	1349	3686
134	1359	3675
135	1369	3665
136	1380	3657
137	1390	3646
138	1400	3636
139	1410	3626
140	1419	3615
141	1429	3604
142	1440	3595
143	1450	3585
144	1460	3574
145	1469	3564
146	1481	3557
147	1491	3548
148	1502	3538
149	1511	3527
150	1523	3520
151	1533	3511
152	1543	3501
153	1553	3490
154	1563	3479
155	1573	3469
156	1582	3457
157	1592	3446
158	1602	3435
159	1612	3425
160	1621	3414
161	1631	3403
162	1640	3392
163	1651	3382
164	1660	3371
165	1671	3362
166	1680	3351
167	1690	3340
168	1699	3329
169	1709	3318
170	1719	3307
171	1729	3297
172	1738	3286
173	1748	3275
174	1758	3264
175	1768	3255
176	1777	3244
177	1786	3232
178	1796	3221
179	1806	3211
180	1816	3202
181	1827	3192
182	1837	3182
183	1846	3171
184	1856	3161
185	1866	3150
186	1876	3140
187	1886	3130
188	1896	3120
189	1907	3111
190	1917	3101
191	1927	3091
192	1937	3081
193	1947	3071
194	1957	3061
195	1966	3050
196	1976	3040
197	1986	3029
198	1996	3019
199	2006	3009
200	2017	3000
201	2027	2990
202	2037	2980
203	2047	2970
204	2056	2959
205	2066	2948
206	2075	2938
207	2085	2928
208	2096	2919
209	2106	2908
210	2116	2898
211	2126	2888
212	2135	2877
213	2145	2867
214	2155	2857
215	2165	2846
216	2174	2836
217	2184	2825
218	2194	2815
219	2203	2804
220	2213	2794
221	2222	2783
222	2232	2773
223	2242	2763
224	2252	2753
225	2262	2742
226	2272	2733
227	2282	2722
228	2292	2712
229	2301	2701
230	2311	2691
231	2320	2680
232	2330	2670
233	2340	2660
234	2350	2650
235	2359	2639
236	2369	2629
237	2379	2619
238	2389	2609
239	2398	2598
240	2408	2588
241	2418	2578
242	2428	2568
243	2438	2558
244	2448	2548
245	2457	2537
246	2467	2527
247	2477	2517
248	2487	2507
249	2496	2496
250	2506	2486
251	2516	2476
252	2526	2466
253	2537	2457
254	2546	2446
255	2556	2436
256	2566	2426
257	2576	2416
258	2586	2406
259	2596	2396
260	2606	2386
261	2616	2376
262	2626	2366
263	2635	2356
264	2646	2346
265	2656	2336
266	2667	2327
267	2677	2317
268	2687	2308
269	2698	2298
270	2707	2288
271	2717	2277
272	2727	2267
273	2736	2257
274	2746	2246
275	2755	2236
276	2764	2225
277	2775	2216
278	2785	2206
279	2794	2195
280	2805	2186
281	2815	2176
282	2824	2166
283	2834	2155
284	2844	2146
285	2854	2135
286	2864	2125
287	2873	2115
288	2883	2105
289	2894	2095
290	2904	2085
291	2914	2076
292	2924	2066
293	2934	2056
294	2945	2046
295	2954	2036
296	2964	2026
297	2974	2016
298	2984	2006
299	2993	1995
300	3003	1985
301	3012	1975
302	3022	1965
303	3032	1954
304	3042	1945
305	3052	1935
306	3061	1924
307	3072	1915
308	3082	1905
309	3093	1896
310	3103	1886
311	3113	1876
312	3123	1866
313	3133	1856
314	3143	1846
315	3153	1836
316	3163	1826
317	3172	1815
318	3181	1805
319	3191	1795
320	3201	1785
321	3211	1775
322	3221	1765
323	3231	1755
324	3240	1744
325	3250	1734
326	3259	1724
327	3269	1714
328	3279	1704
329	3289	1694
330	3299	1684
331	3308	1674
332	3318	1664
333	3328	1654
334	3338	1644
335	3348	1634
336	3359	1624
337	3369	1614
338	3379	1605
339	3389	1594
340	3398	1584
341	3408	1574
342	3417	1564
343	3427	1554
344	3438	1544
345	3448	1535
346	3458	1524
347	3468	1514
348	3478	1504
349	3488	1495
350	3498	1485
351	3508	1475
352	3517	1464
353	3527	1454
354	3538	1445
355	3548	1435
356	3558	1425
357	3568	1415
358	3578	1405
359	3588	1395
360	3597	1385
361	3608	1375
362	3618	1365
363	3629	1356
364	3640	1346
365	3650	1336
366	3660	1326
367	3672	1317
368	3683	1307
369	3695	1298
370	3705	1288
371	3716	1278
372	3728	1269
373	3740	1260
374	3751	1250
375	3762	1240
376	3773	1231
377	3785	1221
378	3795	1211
379	3806	1202
380	3818	1192
381	3828	1182
382	3839	1172
383	3849	1162
384	3860	1153
385	3870	1143
386	3880	1132
387	3890	1123
388	3901	1113
389	3911	1103
390	3922	1093
391	3933	1083
392	3943	1073
393	3954	1064
394	3965	1054
395	3976	1044
396	3989	1034
397	4000	1025
398	4010	1015
399	4022	1005
400	4033	995
401	4043	985
402	4055	976
403	4066	966
404	4077	956
405	4088	946
406	4098	936
407	4108	926
408	4118	916
409	4129	906
410	4139	896
411	4150	886
412	4160	876
413	4170	866
414	4180	856
415	4191	846
416	4201	836
417	4212	826
418	4223	816
419	4234	806
420	4245	796
421	4257	786
422	4267	776
423	4277	766
424	4289	757
425	4300	746
426	4310	736
427	4320	726
428	4330	716
429	4340	706
430	4351	696
431	4361	686
432	4371	676
433	4381	666
434	4390	656
435	4400	645
436	4410	635
437	4421	625
438	4431	615
439	4441	605
440	4451	595
441	4462	585
442	4472	575
443	4482	565
444	4494	555
445	4504	545
446	4514	535
447	4524	525
448	4535	515
449	4546	505
450	4556	495
451	4567	485
452	4578	475
453	4588	464
454	4599	454
455	4609	444
456	4620	434
457	4631	424
458	4641	414
459	4654	404
460	4666	394
461	4677	384
462	4687	374
463	4697	364
464	4708	354
465	4719	344
466	4729	334
467	4740	324
468	4751	314
469	4761	303
470	4773	293
471	4784	283
472	4794	273
473	4805	263
474	4815	253
475	4826	243
476	4836	233
477	4846	223
478	4856	212
479	4866	202
480	4877	192
481	4887	182
482	4896	172
483	4906	162
484	4917	152
485	4930	142
486	4944	131
487	4957	121
488	4968	111
489	4979	101
